"TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"Mischief Under $5000",2014,1,"300 SE MARINE DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3100 E 27TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 BUTE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"CLARK DR / E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"400 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"300 PENTICTON ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1400 COMMERCIAL DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"4400 W 10TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"600 HELMCKEN ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"300 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"BALDWIN ST / KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"800 RICHARDS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1700 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3000 DUNBAR ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3600 WILLIAM ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"900 W 16TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"HORNBY ST / W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 E CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"GORE AVE / POWELL ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 GORE AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"COMMERCIAL ST / E 18TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"4800 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1300 HORNBY ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1700 E 34TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 KEEFER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"E 23RD AVE / KAMLOOPS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1200 E 12TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"MACDONALD ST / W 12TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2900 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"6600 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3300 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"5000 SHERBROOKE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"600 E 6TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"CAMBIE ST / W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"E KING EDWARD AVE / SOPHIA ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"4900 ROSS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2200 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1100 THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 E PENDER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2000 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"4900 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3500 E 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1100 E BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"600 DUNSMUIR ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"4800 DUMFRIES ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 KEEFER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"E HASTINGS ST / VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 N TEMPLETON DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"BURRARD ST / DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"800 GILFORD ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"6200 EAST BLVD",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2200 DUNDAS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"200 GORE AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1100 ROBSON ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2900 W 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"E 53RD AVE / PRINCE EDWARD ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2900 W 20TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 BUTE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"800 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3000 E 23RD AVE",NA,NA,NA,"VANCOUVER BC"
